"","Sub","Run","x","y","FixDur","NumFix","Stim","Talker","Syll","PC_Eyes","PC_Mouth","PC_Off","PC_Up","PC_Low","Dist_Eyes","Dist_Mouth","Code","AQ","NewNum"
"1",1,1,937.771870794078,508.78869448183,2972,4,4,2,1,0.711305518169583,0.0720053835800808,0,0.927994616419919,0.0720053835800808,1.06356972570956,2.08787775623658,6544,14,36
"2",1,1,971.626400996264,527.937733499377,6424,4,11,4,2,0.240348692403487,0.63013698630137,0,0.36986301369863,0.63013698630137,2.13364724827677,1.7292767683495,6544,14,36
"3",1,1,946.615151515152,487.862626262626,5940,4,9,3,3,0,0.296969696969697,0,0.502020202020202,0.497979797979798,2.02838990420988,1.57499363451275,6544,14,36
"4",1,1,919.975165562914,561.332781456954,7248,4,12,4,3,0.224337748344371,0.775662251655629,0,0.224337748344371,0.775662251655629,2.36010735158886,1.08586040922871,6544,14,36
"5",1,1,1046.875,531.344696969697,3168,5,5,2,2,0.32449494949495,0.571969696969697,0.103535353535354,0.428030303030303,0.571969696969697,3.89942988966914,3.28223940078989,6544,14,36
"6",1,1,942.236550632911,503.867879746835,2528,3,1,1,1,0.579905063291139,0.326740506329114,0,0.673259493670886,0.326740506329114,1.82641911836392,2.18847499866699,6544,14,36
"7",1,1,948.538732394366,512.080985915493,1704,3,7,3,1,0,0.88849765258216,0,0.11150234741784,0.88849765258216,2.51400683024255,0.947796240416088,6544,14,36
"8",1,1,942.320987654321,485.391975308642,3888,3,8,3,2,0,0.284979423868313,0,0.715020576131687,0.284979423868313,1.96672815655828,1.5799504034929,6544,14,36
"9",1,1,918.3125,514.998310810811,2368,4,10,4,1,0.538851351351351,0.366554054054054,0,0.633445945945946,0.366554054054054,1.46139607053843,1.86674733260103,6544,14,36
"10",1,1,959.369928400955,514.365155131265,5028,4,2,1,2,0.41447891805887,0.488464598249801,0,0.511535401750199,0.488464598249801,1.77609211098392,1.76041690792512,6544,14,36
"11",1,1,931.48,533.472857142857,8400,3,6,2,3,0.461428571428571,0.538571428571429,0,0.461428571428571,0.538571428571429,1.91884666189254,1.67399250298818,6544,14,36
"12",1,1,973.435870698644,523.944734098019,5754,5,3,1,3,0.231491136600626,0.374348279457768,0.0427528675703858,0.484880083420229,0.515119916579771,2.08632356208511,1.72513133985523,6544,14,36
"13",1,1,918,502,2630,1,4,2,1,1,0,0,1,0,1,1.24679087806875,6544,14,36
"14",1,1,924.404580152672,494.823039555864,2882,4,1,1,1,0.750173490631506,0.0985426786953505,0,0.825815405968078,0.174184594031922,1.80937112971827,2.6308997844316,6544,14,36
"15",1,1,942.081293706294,530.91958041958,2288,3,7,3,1,0,0.897727272727273,0.102272727272727,0,1,2.93097857331997,1.15734088414534,6544,14,36
"16",1,1,966.227714033539,535.992939099735,4532,4,2,1,2,0.281553398058252,0.718446601941748,0,0.281553398058252,0.718446601941748,2.1714564256557,1.27340554452097,6544,14,36
"17",1,1,1007.61552680222,511.698706099815,9738,5,3,1,3,0.593345656192237,0.406654343807763,0,0.593345656192237,0.406654343807763,1.92617833898281,1.80864137457721,6544,14,36
"18",1,1,949.337209302326,548.481727574751,4816,4,5,2,2,0.441860465116279,0.492524916943522,0,0.441860465116279,0.558139534883721,1.97408700108369,1.42340049910544,6544,14,36
"19",1,1,935.602775368604,552.918473547268,4612,3,11,4,2,0.404163052905464,0.595836947094536,0,0.404163052905464,0.595836947094536,2.11810377544748,1.08357494069048,6544,14,36
"20",1,1,944.890151515152,510.735795454545,6336,4,9,3,3,0,0.892045454545455,0,0.107954545454545,0.892045454545455,2.53353603038339,1.06626504427824,6544,14,36
