"","Sub","Run","Movie","Avg_x","Avg_y","P_Lower","P_Upper","P_Mouth","P_Eye","P_NotROI","P_NotFace","NumFix","Std_x","Std_y"
"22",1,3,2,810,478,0,0.945812807881773,0,0.945812807881773,0.0541871921182266,0.0541871921182266,34,86.3366567396142,36.9310528444136
"23",1,3,3,787,552,0,0.826265389876881,0,0.826265389876881,0.173734610123119,0.173734610123119,47,115.557462825852,37.6812165095111
"24",1,3,4,891,450,0,0.803854875283447,0,0.802721088435374,0.197278911564626,0.196145124716553,61,177.857484908171,46.3593868616868
"25",1,3,5,908,485,0,0.988713318284424,0,0.979683972911964,0.0203160270880361,0.0112866817155756,20,81.3008027262107,42.6735398874692
"26",1,3,6,954,568,0,0.932584269662921,0,0.932584269662921,0.0674157303370786,0.0674157303370786,60,99.7703958381677,32.2286254370533
"27",1,3,7,853,558,0.0216666666666667,0.92,0.0216666666666667,0.9,0.0783333333333333,0.0583333333333333,40,83.1325592051634,51.3802802368985
"28",1,3,8,923,464,0,0.771551724137931,0,0.75,0.25,0.228448275862069,38,114.609551280688,58.1247213931543
"29",1,3,9,859,460,0,0.865819209039548,0,0.857344632768362,0.142655367231638,0.134180790960452,45,104.57190960933,45.2468134017967
"30",1,3,10,1014,469,0,0.992015968063872,0,0.992015968063872,0.00798403193612774,0.00798403193612774,37,73.6980573675207,46.1234595884596
"31",1,4,1,860,437,0,0.9149377593361,0,0.9149377593361,0.0850622406639004,0.0850622406639004,38,64.0725244910464,27.2369409780233
"32",1,4,2,911,380,0,0.905109489051095,0,0.905109489051095,0.0948905109489051,0.0948905109489051,34,47.9671255160031,28.1680555143089
"33",1,4,3,899,475,0,0.769230769230769,0,0.769230769230769,0.230769230769231,0.230769230769231,43,68.1574355496894,38.5487570694262
"34",1,4,4,766,416,0,0.994858611825193,0,0.994858611825193,0.0051413881748072,0.0051413881748072,30,76.596206302008,31.7479414670048
"35",1,4,5,934,437,0,0.904921700223714,0,0.904921700223714,0.0950782997762864,0.0950782997762864,67,94.9365475746957,30.0710861012608
"36",1,4,6,935,421,0,0.966037735849057,0,0.966037735849057,0.0339622641509434,0.0339622641509434,32,81.1722784113201,26.3258968399677
"37",1,4,7,906,533,0,0.920103092783505,0,0.920103092783505,0.0798969072164948,0.0798969072164948,25,98.5682102408909,66.9078949241254
"38",1,4,8,952,538,0,0.920289855072464,0,0.91407867494824,0.0859213250517598,0.0797101449275362,81,153.530613482197,42.8089131232319
"39",1,4,9,765,446,0,0.92507204610951,0,0.917867435158501,0.0821325648414986,0.0749279538904899,46,71.1546054406037,31.4651778117991
"40",1,4,10,788,475,0,0.942307692307692,0,0.942307692307692,0.0576923076923077,0.0576923076923077,61,84.6405687278411,50.2200536245999
"41",2,1,1,1013,496,0.0474777448071217,0.952522255192878,0,0.897626112759644,0.102373887240356,0,64,69.940830394495,41.4151895152552
"42",2,1,2,1046,430,0.193430656934307,0.788321167883212,0.164233576642336,0.708029197080292,0.127737226277372,0.0182481751824818,83,75.2478369706435,89.5793862031525
"43",2,1,3,1117,560,0.0490956072351421,0.89405684754522,0.041343669250646,0.834625322997416,0.124031007751938,0.0568475452196382,36,116.020791077441,65.2793311515195
"44",2,1,4,1047,492,0.0426829268292683,0.917073170731707,0.0207317073170732,0.901219512195122,0.0780487804878049,0.0402439024390244,43,82.2721729035117,58.4087187162173
"45",2,1,5,916,537,0.234782608695652,0.715942028985507,0.2,0.71304347826087,0.0869565217391304,0.0492753623188406,37,116.332567473552,86.4123341021532
"46",2,1,6,969,562,0.201724137931034,0.798275862068966,0.153448275862069,0.570689655172414,0.275862068965517,0,59,50.9352820527024,106.150397463639
"47",2,1,7,951,448,0.0455729166666667,0.947916666666667,0.01953125,0.856770833333333,0.123697916666667,0.00651041666666667,57,69.4988172935158,56.7011952837304
"48",2,1,8,983,533,0.0326923076923077,0.913461538461538,0.0326923076923077,0.913461538461538,0.0538461538461539,0.0538461538461538,24,91.7940355122341,37.2494658632925
"49",2,1,9,1052,532,0.148351648351648,0.771428571428571,0.181318681318681,0.707692307692308,0.110989010989011,0.0802197802197802,82,127.060851064377,96.5425406832381
"50",2,1,10,998,494,0.152631578947368,0.815789473684211,0.152631578947368,0.713157894736842,0.134210526315789,0.0315789473684211,14,42.934785550289,54.0776332277261
"51",2,2,1,984,469,0,0.972375690607735,0,0.972375690607735,0.0276243093922652,0.0276243093922652,9,38.7394022329953,35.6977076734629
"52",2,2,2,923,457,0.0931372549019608,0.884803921568627,0.071078431372549,0.821078431372549,0.107843137254902,0.0220588235294118,58,98.6541557117898,89.9888198113093
"53",2,2,3,1122,502,0.0174418604651163,0.957364341085271,0,0.833333333333333,0.166666666666667,0.0251937984496124,44,121.800765054479,66.0309953238547
"54",2,2,4,1067,454,0.0427251732101617,0.934180138568129,0.0438799076212471,0.806004618937644,0.150115473441109,0.023094688221709,104,114.143078057088,81.7284500749506
"55",2,2,5,990,485,0.189952904238619,0.759811616954474,0.0926216640502355,0.687598116169545,0.21978021978022,0.0502354788069074,65,65.6516730517086,87.3638562584491
"56",2,2,6,1024,556,0.0361648444070648,0.960470984020185,0.0126156433978133,0.913372582001682,0.0740117746005046,0.00336417157275021,84,104.886631154027,62.9751622309091
"57",2,2,7,1010,591,0.164948453608247,0.812371134020619,0.0783505154639175,0.775257731958763,0.14639175257732,0.022680412371134,51,111.181403819223,88.2450993046112
"58",2,2,8,1000,512,0.0846262341325811,0.873060648801128,0.0564174894217207,0.743300423131171,0.200282087447109,0.0423131170662905,75,146.605579550329,81.959906080293
"59",2,2,9,982,541,0.0342146189735614,0.956454121306376,0.0124416796267496,0.92846034214619,0.0590979782270607,0.00933125972006221,69,67.3377569540746,87.0357887535546
"60",2,2,10,951,535,0.296296296296296,0.650462962962963,0.12962962962963,0.574074074074074,0.296296296296296,0.0532407407407407,51,131.111340119824,84.2761661087932
"61",2,3,1,1064,456,0.0417867435158501,0.897694524495677,0.0230547550432277,0.84149855907781,0.135446685878963,0.0605187319884726,57,99.5877969313704,82.6458190842329
"62",2,3,2,906,531,0.107692307692308,0.866666666666667,0.0769230769230769,0.794871794871795,0.128205128205128,0.0256410256410256,61,85.3476112247054,65.8387812169532
"63",2,3,3,862,538,0,0.854060913705584,0,0.823604060913706,0.176395939086294,0.145939086294416,22,91.3718940522086,45.5654171240614
"64",2,3,4,960,492,0.0257234726688103,0.859592711682744,0.00643086816720257,0.786709539121115,0.206859592711683,0.114683815648446,53,149.442983063674,52.4849293031673
"65",2,3,5,1001,544,0.19683257918552,0.80316742081448,0.19683257918552,0.771493212669683,0.0316742081447964,0,31,73.1549651570616,52.6158922910007
"66",2,3,6,1018,586,0.0715123094958968,0.908558030480657,0.00351699882766706,0.875732708089097,0.120750293083236,0.0199296600234467,52,75.8126926554881,62.4555440766141
"67",2,3,7,953,572,0.0298507462686567,0.90547263681592,0,0.84742951907131,0.15257048092869,0.0646766169154229,40,75.2232040823511,76.4819208747244
"68",2,3,8,1013,502,0.0429184549356223,0.789699570815451,0.0321888412017167,0.701716738197425,0.266094420600858,0.167381974248927,53,120.121753886559,67.6455112672426
"69",2,3,9,993,509,0.0824022346368715,0.863128491620112,0.0167597765363128,0.768156424581006,0.215083798882682,0.0544692737430168,74,126.875518705883,81.4138609782536
"70",2,3,10,1115,517,0.138832997987928,0.835010060362173,0.0865191146881288,0.764587525150905,0.148893360160966,0.0261569416498994,67,65.5328853679545,81.8591548306652
"71",2,4,1,953,469,0,0.975951903807615,0.0240480961923848,0.907815631262525,0.0681362725450902,0.0240480961923848,48,71.570317142951,43.7973684723462
"72",2,4,2,1007,425,0.0144144144144144,0.762162162162162,0,0.726126126126126,0.273873873873874,0.223423423423423,60,121.835749706986,107.720460614185
"73",2,4,3,974,506,0.0360531309297913,0.69449715370019,0,0.662239089184061,0.337760910815939,0.269449715370019,64,111.777009950847,126.261521168705
"74",2,4,4,931,533,0.170157068062827,0.704188481675393,0.0942408376963351,0.651832460732984,0.253926701570681,0.12565445026178,39,112.901367750546,110.255420784131
